"ID","Rol","Función","API / servidor","Web","Mobile nativo","Hallazgos","Pendiente"
"C01","Cuenta / todos","Registro con intención de uso","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"C02","Cuenta / todos","Inicio, cierre y recuperación de sesión","Parcial: Login y logout de actores QA; recuperación no probada","Parcial: Login y logout de proveedor y owner; recuperación pendiente","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"C03","Cuenta / todos","Confirmación por código y reenvío","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"C04","Cuenta / todos","Perfil y pasos de cuenta","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"C05","Cuenta / todos","Roles y cambio de modo","Parcial: Modo provider activado; no se cubren todas las combinaciones","Parcial: Vista por rol tras login; cambios múltiples pendientes","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"C06","Cuenta / todos","Preferencias personales","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"C07","Cuenta / todos","Direcciones personales","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"C08","Cuenta / todos","Métodos guardados como referencia","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"C09","Cuenta / todos","Solicitud de eliminación de cuenta","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"C10","Cuenta / todos","Ayuda y acceso beta","No ejecutada","Parcial: Ayuda pública abre con errores de hidratación","No ejecutada en dispositivo","H08 (pendiente)","Completar variantes y canales; repetir tras correcciones"
"O01","Propietario / miembro","Inicio contextual y mascota activa","No ejecutada","Parcial: Inicio owner a 1440/390 px; desbordamiento","No ejecutada en dispositivo","H07 (pendiente)","Completar variantes y canales; repetir tras correcciones"
"O02","Propietario / miembro","Crear, seleccionar y consultar hogares","Parcial: Crear hogares owner/protective y consultar contexto","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"O03","Propietario / miembro","Invitar y aceptar miembros","Parcial: Invitar cuenta QA existente y aceptar; rechazo pendiente","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"O04","Propietario / miembro","Administrar permisos del hogar","Parcial: view/edit/book/pay/admin, revocación y último admin","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"O05","Propietario / miembro","Registrar y editar mascotas","Parcial: Crear/editar mascota QA y controlar edit","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"O06","Propietario / miembro","Foto de perfil","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"O07","Propietario / miembro","Estado «En memoria» y reactivación","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"O08","Propietario / miembro","Cargar y clasificar documentos","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"O09","Propietario / miembro","Ver, corregir, reemplazar y eliminar documentos","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"O10","Propietario / miembro","Vigencia documental","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"O11","Propietario / miembro","Resumen de salud","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"O12","Propietario / miembro","Vacunas y soporte de aplicación","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"O13","Propietario / miembro","Alergias y condiciones","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"O14","Propietario / miembro","Recordatorios y calendario","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"O15","Propietario / miembro","Hora y notificación local","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"O16","Propietario / miembro","Buscar proveedores y servicios","Parcial: Proveedor QA visible al publicar y oculto al cerrar prueba","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"O17","Propietario / miembro","Ubicación y mapa de proveedores","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"O18","Propietario / miembro","Consultar horarios y preparar reserva","Parcial: Proyección de slot, zona horaria y preview","No ejecutada","No ejecutada en dispositivo","H06 (corregido en servidor)","Completar variantes y canales; repetir tras correcciones"
"O19","Propietario / miembro","Revisar y confirmar reserva","Parcial: Último cupo concurrente y permisos; sin cobro","No ejecutada","No ejecutada en dispositivo","H06 (corregido en servidor)","Completar variantes y canales; repetir tras correcciones"
"O20","Propietario / miembro","Historial, detalle y seguimiento","Parcial: Detalle e historial básicos; acceso ajeno bloqueado","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"O21","Propietario / miembro","Cancelar dentro de política","Parcial: Cancelación futura libera cupo; límites temporales no agotados","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"O22","Propietario / miembro","QR de llegada y salida","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"O23","Propietario / miembro","Consultar evidencia del servicio","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"O24","Propietario / miembro","Conversaciones con proveedor","Parcial: Solo existencia del hilo automático; sin mensajes","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"O25","Propietario / miembro","Reseñar un servicio completado","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"O26","Propietario / miembro","Abrir y seguir soporte","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"O27","Propietario / miembro","Acceso sanitario temporal e historial profesional","Parcial: Grant/consentimiento, revocación y timeline QA","No ejecutada","No ejecutada en dispositivo","H01 (corregido en servidor); H05 (servidor corregido; publicar cliente)","Completar variantes y canales; repetir tras correcciones"
"O28","Propietario / miembro","Badge del icono Mobile","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"P01","Proveedor","Inicio y selección de negocio","Parcial: Lectura privada del negocio; selección visual no agotada","Parcial: Consola proveedor a 1440/390 px; desbordamiento","No ejecutada en dispositivo","H07 (pendiente)","Completar variantes y canales; repetir tras correcciones"
"P02","Proveedor","Crear y editar negocio","Parcial: Crear/editar organización QA","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"P03","Proveedor","Perfil público y avatar","Parcial: Texto y visibilidad del perfil; avatar pendiente","No ejecutada","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"P04","Proveedor","Ubicación pública declarada","No ejecutada","No ejecutada","No ejecutada en dispositivo","","Ejecutar caso positivo, negativo de permisos y recorrido por canal"
"P05","Proveedor","Catálogo de servicios","Parcial: Crear/editar servicio QA; borrado pendiente","Parcial: Clic a sección Servicios; no se guardó formulario","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
"P06","Proveedor","Disponibilidad semanal y capacidad","Parcial: Disponibilidad, concurrencia, ajuste y desactivación; H06 corregido: 16 regresiones y dos carreras reales de edición/reserva","Parcial: Clic a Agenda/Capacidad; no se guardó formulario","No ejecutada en dispositivo","H06 (corregido en servidor)","Completar variantes y canales; repetir tras correcciones"
"P07","Proveedor","Documentos de aprobación","No ejecutada","Parcial: Clic a Documentos; no se subió archivo","No ejecutada en dispositivo","","Completar variantes y canales; repetir tras correcciones"
